best commas per semitina zone (names)

0: 1u
1: 5/1517n
2: 59/7n
3: 2023/5n
4: 1/205n
5: 85/121n
6: 1/455n
7: 47/11n
8: 3025/7n
9: 6475n
10: 2401/25n
11: 83/35n
12: 65/77n
13: 13/37n
14: 7/425n
15: 1/2875n
16: 253/5n
17: 1/1457n
18: 1/539n
19: 1/1295n
20: 19/5n
21: 25/1421n
22: 11/247n
23: 121/17n
24: 1/341n
25: 31/29n
26: 35/221s
27: 299/7s
28: 5s
29: 31/209s
30: 833/13s
31: 11/625s
32: 1/2873s
33: 21875s
34: 1/91s
35: 235/11s
36: 77s
37: 91/115s
38: 2401/5s
39: 625/13s
40: 325/77s
41: 595/11s
42: 13/875s
43: 1/575s
44: 187/35s
45: 7/265s
46: 5/539s
47: 17/143s
48: 19s
49: 1/319s
50: 31/55s
51: 481/5s
52: 13/41s
53: 155/29s
54: 115/17s
55: 11/185s
56: 49/55s
57: 2737s
58: 11/125s
59: 245/29s
60: 7/31s
61: 203/5s
62: 25/133s
63: 91/85s
64: 385k
65: 7/377k
66: 125/187k
67: 41/23k
68: 361/5k
69: 1/425k
70: 11/13k
71: 1/115k
72: 119/125k
73: 7/53k
74: 1/605k
75: 85/143k
76: 325k
77: 5/319k
78: 31/11k
79: 481k
80: 65/41k
81: 575/17k
82: 5/7k
83: 11/37k
84: 49/11k
85: 289k
86: 1/287k
87: 49/3125k
88: 1/637k
89: 203k
90: 91/17k
91: 7/529k
92: 343/5k
93: 23/29k
94: 1/403k
95: 29/65k
96: 1/85k
97: 19/319k
98: 55/13k
99: 8225k
100: 119/25k
101: 61k
102: 1/121k
103: 7/235k
104: 1/1225k
105: 25/319k
106: 29/77k
107: 143/25k
108: 2057k
109: 1219k
110: 25/7k
111: 41/43k
112: 221/55k
113: 1445k
114: 217k
115: 15625k
116: 5/637k
117: 23/55k
118: 209/13k
119: 13/23k
120: 343k
121: 17/203k
122: 11/41k
123: 847/25k
124: 1/17k
125: 1/805k
126: 49/65k
127: 1/53k
128: 25/3773k
129: 305k
130: 95/7k
131: 7/47k
132: 1/6875k
133: 161/19k
134: 143/5k
135: 77/23k
136: 1/725k
137: 113/5k
138: 7/11k
139: 1955k
140: 11/175k
141: 175/29k
142: 1085k
143: 29k
144: 1/715k
145: 19/85k
146: 275k
147: 65/23k
148: 1715k
149: 407k
150: 65/121k
151: 2125/11k
152: 13/245k
153: 1/161k
154: 49/13k
155: 1/67k
156: 1/847k
157: 1/2035k
158: 1/8575k
159: 377/25k
160: 7/845k
161: 77/17k
162: 17/19k
163: 637/125k
164: 43/5k
165: 299/11k
166: 35/11k
167: 37/49C
168: 11/35C
169: 7/625C
170: 25/31C
171: 145C
172: 1/143C
173: 37/31C
174: 1375C
175: 47/35C
176: 1547C
177: 121/25C
178: 1/119C
179: 5/5083C
180: 13/49C
181: 161C
182: 17/5C
183: 5/67C
184: 5/847C
185: 1/407C
186: 1/1715C
187: 23/65C
188: 35/247C
189: 11/23C
190: 637/25C
191: 551C
192: 125/49C
193: 1/7225C
194: 11/221C
195: 185/49C
196: 7/125C
197: 5/113C
198: 725C
199: 23/77C
200: 325/17C
201: 25/529C
202: 245C
203: 47/7C
204: 121/5C
205: 1/305C
206: 5/119C
207: 1/1127C
208: 7/13C
209: 7/1265C
210: 17C
211: 13/29C
212: 403/5C
213: 5/47C
214: 1/343C
215: 115/19C
216: 143/7C
217: 55/23C
218: 1/1015C
219: 2755C
220: 5/11C
221: 7/37C
222: 11/245C
223: 37/55C
224: 7/25C
225: 61/17C
226: 19/119C
227: 125/209C
228: 17/539C
229: 11/155C
230: 1225C
231: 143/425C
232: 121C
233: 67/7C
234: 25/119C
235: 23C
236: 35/13C
237: 209/23C
238: 1/361C
239: 7/1331C
240: 25/47C
241: 29/23C
242: 1/169C
243: 13/391C
244: 715/7C
245: 1/203C
246: 1309C
247: 1/89C
248: 25/11C
249: 35/37C
250: 11/49C
251: 37/11C
252: 91/19C
253: 13/61C
254: 5/1001C
255: 1/481C
256: 11/31C
257: 47/49C
258: 1/95C
259: 259/5C
260: 539/25C
261: 53/7C
262: 7/187C
263: 115C
264: 17/7C
265: 11/2975C
266: 31/23C
267: 29/17C
268: 1/2401C
269: 23/91C
270: 5/169C
271: 425/133C
272: 91/5C
273: 49/23C
274: 1/1519C
275: 125/11C
276: 49/121C
277: 7/841C
278: 1/25C
279: 7/1495C
280: 187/13C
281: 25/1001C
282: 11/29C
283: 17/605C
284: 175C
285: 29/43C
286: 1/19C
287: 259C
288: 539/5C
289: 2401/625C
290: 1/253C
291: 575C
292: 85/7C
293: 37/65C
294: 253/125C
295: 145/17C
296: 5/2401C
297: 125/247C
298: 49/17C
299: 19/125C
300: 91C
301: 3125/343C
302: 41C
303: 5/37C
304: 245/121C
305: 37/77C
306: 1/5C
307: 1/1517C
308: 39325C
309: 55/29C
310: 5/79C
311: 2185C
312: 875C
313: 11/391C
314: 605/7C
315: 1295C
316: 2401/125C
317: 1/355C
318: 25/13C
319: 425/7C
320: 119/55C
321: 37/13C
322: 77/19C
323: 11/61C
324: 1/2695C
325: 85/637C
326: 19/25C
327: 7/23C
328: 31/49C
329: 121/85C
330: 205C
331: 25/37C
332: 7/221C
333: 185/77C
334: 3C
335: 173C
336: 7007C
337: 11/3125C
338: 49/145C
339: 319/7C
340: 1/133C
341: 47/11C
342: 77/5C
343: 169/125C
344: 5/187C
345: 1/71C
346: 125/13C
347: 361/125C
348: 119/11C
349: 1/2875C
350: 187/175C
351: 55/61C
352: 1/539C
353: 529/55C
354: 13C
355: 35/23C
356: 11/247C
357: 625/77C
358: 13/205C
359: 31/29C
360: 1/35C
361: 1/299C
362: 49/275C
363: 2737/5C
364: 289/25C
365: 11/625C
366: 7/155C
367: 203/25C
368: 5/133C
369: 185C
